iter	Passed	Remaining
0	67	135686
1	138	138335
2	201	134178
3	262	130864
4	321	128463
5	380	126454
6	439	125171
7	499	124427
8	558	123638
9	618	123044
10	678	122707
11	743	123253
12	808	123553
13	874	124063
14	1008	133481
15	1076	133442
16	1144	133504
17	1205	132693
18	1264	131876
19	1325	131181
20	1383	130409
21	1441	129617
22	1500	128962
23	1561	128531
24	1621	128102
25	1682	127733
26	1740	127173
27	1800	126805
28	1858	126311
29	1918	125961
30	1976	125541
31	2177	133934
32	2247	133990
33	2318	134052
34	2376	133398
35	2435	132868
36	2493	132297
37	2552	131774
38	2609	131203
39	2668	130771
40	2726	130270
41	2785	129862
42	2844	129453
43	2906	129212
44	2967	128928
45	3025	128504
46	3085	128207
47	3147	127997
48	3281	130664
49	3349	130621
50	3409	130287
51	3467	129914
52	3525	129511
53	3585	129219
54	3644	128892
55	3704	128614
56	3763	128276
57	3821	127952
58	3879	127624
59	3945	127572
60	4014	127598
61	4081	127586
62	4148	127558
63	4214	127475
64	4300	128011
65	4430	129817
66	4508	130068
67	4579	130109
68	4647	130064
69	4716	130030
70	4781	129920
71	4847	129798
72	4911	129658
73	4978	129574
74	5046	129532
75	5112	129419
76	5178	129323
77	5243	129214
78	5310	129139
79	5397	129530
80	5534	131114
81	5610	131234
82	5682	131236
83	5748	131130
84	5818	131080
85	5890	131099
86	5961	131076
87	6027	130971
88	6095	130884
89	6161	130764
90	6228	130667
91	6298	130635
92	6363	130493
93	6433	130443
94	6577	131893
95	6727	133419
96	6813	133667
97	6880	133531
98	6949	133452
99	7018	133346
100	7086	133241
101	7157	133189
102	7223	133044
103	7292	132956
104	7359	132825
105	7425	132674
106	7491	132531
107	7558	132419
108	7625	132291
109	7729	132810
110	7843	133474
111	7916	133442
112	7986	133365
113	8053	133234
114	8121	133128
115	8188	132991
116	8258	132912
117	8324	132766
118	8389	132612
119	8455	132462
120	8523	132353
121	8590	132235
122	8656	132095
123	8722	131961
124	8802	132043
125	8942	132997
126	9021	133047
127	9090	132947
128	9158	132834
129	9228	132753
130	9304	132754
131	9388	132864
132	9464	132862
133	9556	133071
134	9629	133032
135	9707	133047
136	9772	132894
137	9832	132673
138	9908	132653
139	10114	134384
140	10184	134282
141	10250	134119
142	10309	133881
143	10368	133641
144	10427	133405
145	10486	133168
146	10544	132920
147	10602	132680
148	10661	132440
149	10719	132213
150	10775	131950
151	10836	131746
152	10899	131581
153	10957	131347
154	11014	131109
155	11099	131197
156	11221	131722
157	11291	131636
158	11354	131465
159	11415	131275
160	11476	131091
161	11537	130899
162	11594	130666
163	11652	130448
164	11708	130216
165	11768	130021
166	11825	129798
167	11887	129625
168	11945	129423
169	12007	129256
170	12070	129108
171	12129	128915
172	12217	129025
173	12325	129343
174	12389	129208
175	12448	129016
176	12506	128806
177	12566	128629
178	12623	128425
179	12683	128240
180	12740	128043
181	12802	127881
182	12858	127675
183	12917	127488
184	12976	127312
185	13035	127129
186	13093	126948
187	13154	126785
188	13213	126609
189	13272	126434
190	13413	127041
191	13483	126965
192	13546	126827
193	13605	126660
194	13665	126489
195	13722	126299
196	13781	126135
197	13838	125943
198	13897	125776
199	13954	125594
200	14014	125435
201	14075	125284
202	14133	125114
203	14193	124958
204	14252	124798
205	14311	124632
206	14368	124459
207	14583	125638
208	14652	125562
209	14718	125454
210	14778	125302
211	14840	125165
212	14899	125002
213	14963	124880
214	15024	124738
215	15082	124573
216	15142	124419
217	15200	124251
218	15259	124100
219	15319	123950
220	15381	123814
221	15439	123655
222	15497	123491
223	15557	123348
224	15679	123694
225	15747	123614
226	15822	123585
227	15884	123453
228	15945	123319
229	16003	123158
230	16062	123007
231	16122	122865
232	16180	122711
233	16240	122566
234	16300	122423
235	16361	122292
236	16419	122142
237	16476	121983
238	16532	121816
239	16590	121665
240	16651	121532
241	16747	121662
242	16845	121802
243	16910	121698
244	16970	121566
245	17033	121448
246	17093	121317
247	17151	121170
248	17211	121034
249	17274	120919
250	17332	120772
251	17390	120631
252	17450	120496
253	17508	120351
254	17567	120216
255	17627	120089
256	17688	119965
257	17745	119813
258	17829	119849
259	17952	120142
260	18020	120066
261	18095	120040
262	18160	119945
263	18220	119816
264	18278	119675
265	18339	119548
266	18397	119408
267	18459	119299
268	18518	119164
269	18576	119026
270	18637	118909
271	18697	118781
272	18755	118645
273	18814	118518
274	18876	118409
275	19042	118948
276	19144	119083
277	19210	118994
278	19271	118875
279	19331	118750
280	19391	118626
281	19450	118495
282	19509	118365
283	19567	118232
284	19624	118091
285	19685	117972
286	19741	117827
287	19799	117698
288	19857	117562
289	19925	117493
290	19993	117418
291	20063	117360
292	20197	117669
293	20274	117649
294	20354	117643
295	20421	117561
296	20489	117487
297	20555	117399
298	20623	117325
299	20689	117240
300	20761	117186
301	20829	117112
302	20897	117039
303	20963	116954
304	21030	116876
305	21096	116789
306	21162	116705
307	21266	116826
308	21380	117001
309	21449	116935
310	21518	116864
311	21584	116775
312	21652	116702
313	21720	116625
314	21790	116564
315	21857	116480
316	21926	116413
317	21994	116333
318	22060	116250
319	22126	116165
320	22195	116095
321	22262	116015
322	22358	116082
323	22493	116357
324	22578	116367
325	22675	116438
326	22747	116383
327	22818	116317
328	22884	116230
329	22951	116147
330	23024	116096
331	23090	116009
332	23158	115932
333	23226	115853
334	23294	115776
335	23360	115692
336	23509	116014
337	23659	116339
338	23732	116284
339	23800	116204
340	23873	116144
341	23940	116063
342	24011	115998
343	24080	115921
344	24147	115838
345	24215	115759
346	24282	115674
347	24353	115608
348	24419	115522
349	24489	115449
350	24557	115371
351	24644	115381
352	24785	115643
353	24870	115640
354	24939	115565
355	25007	115485
356	25074	115399
357	25142	115316
358	25207	115225
359	25274	115138
360	25343	115064
361	25411	114981
362	25469	114857
363	25527	114734
364	25587	114616
365	25649	114513
366	25709	114398
367	25839	114590
368	25906	114508
369	25979	114448
370	26039	114335
371	26099	114220
372	26157	114096
373	26216	113979
374	26277	113867
375	26336	113753
376	26394	113627
377	26455	113520
378	26512	113393
379	26571	113280
380	26631	113166
381	26690	113050
382	26750	112938
383	26807	112814
384	26974	113153
385	27085	113253
386	27151	113167
387	27218	113081
388	27275	112959
389	27334	112843
390	27391	112719
391	27451	112609
392	27509	112487
393	27568	112374
394	27625	112250
395	27685	112138
396	27742	112017
397	27801	111902
398	27857	111780
399	27919	111678
400	27977	111560
401	28064	111559
402	28181	111678
403	28249	111598
404	28314	111511
405	28372	111394
406	28431	111282
407	28489	111163
408	28548	111051
409	28608	110945
410	28667	110833
411	28724	110716
412	28784	110607
413	28842	110493
414	28899	110375
415	28960	110273
416	29018	110159
417	29075	110042
418	29155	110010
419	29287	110175
420	29354	110095
421	29416	109999
422	29475	109887
423	29533	109775
424	29593	109668
425	29650	109554
426	29709	109443
427	29768	109337
428	29827	109227
429	29885	109115
430	29944	109008
431	30005	108909
432	30067	108811
433	30126	108703
434	30183	108590
435	30267	108575
436	30394	108711
437	30464	108644
438	30539	108593
439	30608	108519
440	30664	108404
441	30723	108298
442	30781	108186
443	30841	108084
444	30900	107977
445	30959	107871
446	31017	107764
447	31077	107661
448	31134	107549
449	31194	107448
450	31253	107343
451	31314	107245
452	31470	107471
453	31595	107590
454	31660	107506
455	31717	107394
