iter	Accuracy	MultiClass
0	0.7358934409	1.519163171
1	0.7582867443	1.33467662
2	0.777961079	1.192646964
3	0.7873399933	1.087021373
4	0.7941832402	1.001180054
5	0.7991018238	0.9288151392
6	0.7973604619	0.8710940207
7	0.7998961293	0.8191619291
8	0.801606941	0.7745859611
9	0.8008431858	0.7385190884
10	0.8020346439	0.7045929488
11	0.8023706962	0.6753969165
12	0.8041426084	0.648539086
13	0.8078697339	0.626384609
14	0.8100387988	0.6064893422
15	0.812116213	0.5868923992
16	0.8146518804	0.5704100765
17	0.8159044389	0.5548504393
18	0.8197232151	0.5412791741
19	0.8198454159	0.5279739298
20	0.8219228302	0.5170052149
21	0.8248556503	0.5056217139
22	0.8262915101	0.4960013759
23	0.8279717716	0.4853486738
24	0.8278190206	0.4774172026
25	0.8288271775	0.4718804486
26	0.8305685394	0.4650886184
27	0.8333791586	0.4577067583
28	0.833867962	0.4519443152
29	0.8345095164	0.4464418628
30	0.8359453762	0.4412250475
31	0.8363119787	0.437182712
32	0.8389698469	0.4331958575
33	0.8401613051	0.4297012018
34	0.8431246754	0.4250500019
35	0.8435523783	0.4201661097
36	0.847157303	0.4161243767
37	0.8477683072	0.4130587826
38	0.8487459139	0.4096135212
39	0.8547337549	0.4047691887
40	0.8554975102	0.3999258689
41	0.857513824	0.3946415429
42	0.85839978	0.3920252965
43	0.858827483	0.3897327454
44	0.8602633428	0.3871463211
45	0.8616992026	0.3833976962
46	0.8628295604	0.3794344499
47	0.862921211	0.3767744296
48	0.8631350625	0.3743043632
49	0.8644792717	0.3708401647
50	0.8649069746	0.3679375009
51	0.8659456817	0.3661740905
52	0.8658540311	0.3629463249
53	0.8667705374	0.3609827347
54	0.867595393	0.35915176
55	0.8686646504	0.357231017
56	0.869489506	0.3547126568
57	0.8703754621	0.3534053116
58	0.8702838114	0.3520176419
59	0.8702838114	0.3501153349
60	0.8708642654	0.3487815798
61	0.8715974704	0.3470451634
62	0.8721473742	0.345195596
63	0.8730333303	0.3435125166
64	0.8753551462	0.341168054
65	0.8760272508	0.3397539656
66	0.8764244035	0.3382865263
67	0.8770048575	0.3357625389
68	0.8778602633	0.3342590506
69	0.8785018177	0.3326465291
70	0.8792350228	0.3315813272
71	0.8797543763	0.3297792842
72	0.8813429872	0.3276426644
73	0.8822594935	0.3258016229
74	0.8828704977	0.3243634126
75	0.8825649956	0.3228593139
76	0.8835426023	0.3214237459
77	0.8838786546	0.3204981126
78	0.8848562613	0.318736155
79	0.8847646106	0.3167269078
80	0.8849784621	0.3154520498
81	0.8853450646	0.3144671183
82	0.8855894663	0.3132440871
83	0.8863226713	0.3118424319
84	0.8871169768	0.3102151614
85	0.8876668805	0.3090702138
86	0.887880732	0.3071902756
87	0.8884000855	0.3062852841
88	0.8889805395	0.3052457718
89	0.8892554914	0.3044522325
90	0.8892860416	0.3029573878
91	0.8896526441	0.3022684287
92	0.8898053952	0.3011060983
93	0.891088504	0.2995017147
94	0.8912718052	0.2988745547
95	0.8916995081	0.297466238
96	0.8916689579	0.2966235151
97	0.8931048178	0.2954389344
98	0.8935325207	0.2939400779
99	0.8939602236	0.2931555798
100	0.8955182843	0.2912834555
101	0.8960681881	0.2898096793
102	0.8968319433	0.2884800851
103	0.8971374454	0.2877167668
104	0.8973207466	0.2868035119
105	0.8979928513	0.2857112457
106	0.898542755	0.284472616
107	0.8991537592	0.2837971618
108	0.8998258638	0.2828533659
109	0.9001313659	0.2819684487
110	0.9001619161	0.2810925621
111	0.9005285186	0.2801099666
112	0.900589619	0.2793955504
113	0.9008645709	0.2786863031
114	0.9012617236	0.2774045644
115	0.901750527	0.2765546025
116	0.9022087801	0.2753202001
117	0.9026364831	0.274588795
118	0.9030336358	0.2740906398
119	0.9035835395	0.2729737558
120	0.9044389454	0.2716080991
121	0.9047749977	0.2704817887
122	0.9053554517	0.2692345088
123	0.9060886567	0.2684459775
124	0.9065469098	0.2675152581
125	0.9069440626	0.2659740657
126	0.9074328659	0.265386642
127	0.9081049705	0.2638547696
128	0.9088076253	0.2631703136
129	0.9092658785	0.2623668261
130	0.9097241316	0.2613052359
131	0.9099990835	0.2602590372
132	0.9103045856	0.2593969238
133	0.9105489873	0.2587676678
134	0.9108850396	0.2576906165
135	0.9114960437	0.2570404974
136	0.911526594	0.2564035432
137	0.9115571442	0.2558756583
138	0.9120764977	0.2549746907
139	0.9123514496	0.2540722095
140	0.9123208994	0.2535991876
141	0.9127486023	0.2527564264
142	0.9128097027	0.2517544726
143	0.9132374057	0.2508478044
144	0.9134512571	0.2503316199
145	0.9140011609	0.2495641954
146	0.9143372132	0.2489264323
147	0.914306663	0.2483193107
148	0.9146732655	0.2473037097
149	0.9150704182	0.2468666038
150	0.9152231693	0.2457754897
151	0.9157425228	0.2446675741
152	0.9164757279	0.2441079602
153	0.9167506797	0.2430203174
154	0.9172394831	0.2424437148
155	0.917514435	0.2417623178
156	0.917667186	0.2413460808
157	0.9178199371	0.2407580283
158	0.9178504873	0.2401267538
159	0.9180032383	0.2394958786
160	0.9181559894	0.2390169578
161	0.9187058931	0.2385323164
162	0.9187058931	0.2378707235
163	0.9192557969	0.2369329904
164	0.9194390982	0.2363469071
165	0.9201723032	0.2354290871
166	0.9204167049	0.2347543451
167	0.9204472551	0.2342215462
168	0.9212721107	0.2334647545
169	0.9213332111	0.233055454
170	0.9215776128	0.2325047326
171	0.9217303639	0.2322331584
172	0.9218525647	0.2316702792
173	0.9224330187	0.230973598
174	0.922341368	0.2303679693
175	0.9224024685	0.2298634025
176	0.9228607216	0.2294414672
177	0.9235328262	0.2288103975
178	0.9238077781	0.2283794964
179	0.9241132802	0.2276216457
