iter	Accuracy	MultiClass
0	0.7303734196	1.512197619
1	0.7616209136	1.328449468
2	0.7711368314	1.190146301
3	0.7727139077	1.088719678
4	0.7736761915	1.003815979
5	0.7761620914	0.9347799572
6	0.7766699634	0.8762092732
7	0.7813744621	0.8245008373
8	0.7884846703	0.7814520145
9	0.7975729064	0.7413971176
10	0.799738045	0.7051361186
11	0.8043356232	0.6763806414
12	0.8117398626	0.648972425
13	0.8134773195	0.6240835853
14	0.8142792227	0.6041398119
15	0.8154553474	0.585425104
16	0.8155622678	0.568272283
17	0.8145465237	0.5532997424
18	0.815615728	0.5392785362
19	0.8169522333	0.5285075344
20	0.8205607976	0.5167158483
21	0.8239555211	0.5050536324
22	0.8263879608	0.4944579813
23	0.8281788779	0.4850157435
24	0.829221352	0.4759245279
25	0.8310657293	0.4669620744
26	0.831493411	0.4607289851
27	0.832482425	0.4541437199
28	0.8355831173	0.4476114644
29	0.8394055224	0.441256128
30	0.8397530138	0.4362639304
31	0.8435219588	0.4302242176
32	0.8443505921	0.4257014983
33	0.846863222	0.4186994068
34	0.8476918553	0.4146523914
35	0.8482799177	0.4117146095
36	0.8498302638	0.4073494856
37	0.8506054369	0.4031330439
38	0.8518082917	0.3992921075
39	0.8531715271	0.396262668
40	0.8535992088	0.3939803397
41	0.854401112	0.3919961646
42	0.8574750742	0.3877104727
43	0.8616717008	0.3837385268
44	0.8626072546	0.3810335524
45	0.8628478255	0.377287291
46	0.8630349362	0.375161149
47	0.8649327738	0.3722841067
48	0.8650129641	0.3703118349
49	0.8666435006	0.3672595906
50	0.8670979124	0.3639441356
51	0.8684611478	0.3614778591
52	0.8690492101	0.3587285646
53	0.8695838122	0.3567852379
54	0.8704124455	0.3541241349
55	0.8717222207	0.3518199321
56	0.8718291412	0.3500158949
57	0.8728181551	0.3476114552
58	0.8747694528	0.3454197141
59	0.8755178958	0.3431819022
60	0.8769078613	0.3408827444
61	0.878083986	0.3389029597
62	0.8784582075	0.3368007679
63	0.8786720483	0.3350613086
64	0.8797412526	0.3333916111
65	0.8810242977	0.3317946025
66	0.8820400417	0.3300860051
67	0.882360803	0.3281891976
68	0.8830023255	0.3261252375
69	0.8831627062	0.3245481473
70	0.8842051803	0.3226874709
71	0.8847932426	0.3215146702
72	0.8853011146	0.3193924672
73	0.885381305	0.318208219
74	0.8863435888	0.3168992884
75	0.886397049	0.315410959
76	0.8867712705	0.3141689271
77	0.8871989522	0.3131159737
78	0.8872524124	0.3116575941
79	0.8878404747	0.3105092037
80	0.8881077758	0.3093762581
81	0.8890165994	0.3078959546
82	0.8901125337	0.3066539546
83	0.8906204058	0.3052832832
84	0.8912619283	0.3035494133
85	0.8913153885	0.3023299198
86	0.8923044024	0.3012130082
87	0.8930528454	0.2994054402
88	0.8933201465	0.2981407299
89	0.8941220497	0.2966938063
90	0.8950843335	0.295502524
91	0.8953516345	0.2946813514
92	0.8958327765	0.2934597095
93	0.8962871883	0.2919682579
94	0.8967683302	0.2909268863
95	0.8971960119	0.289743145
96	0.8976236936	0.2885531357
97	0.8981582957	0.2872097048
98	0.8985325172	0.286094219
99	0.8987998182	0.2849344282
100	0.8991473096	0.283933963
101	0.8996017214	0.2825750991
102	0.9000294031	0.2817089158
103	0.9000561332	0.2805527045
104	0.9006174655	0.2792646116
105	0.9008580364	0.2784055351
106	0.9013124482	0.2777963527
107	0.901499559	0.276985547
108	0.9017133998	0.2762363221
109	0.9017133998	0.2752079744
110	0.9023281922	0.2742908768
111	0.9029162546	0.2734170832
112	0.9035043169	0.2726121141
113	0.9040923792	0.2715634792
114	0.9046537115	0.2705141079
115	0.9052417738	0.2698100478
116	0.9056159953	0.2690388119
117	0.9053486942	0.2685473757
118	0.9055892652	0.2676838626
119	0.9061505974	0.2669766642
120	0.9062842479	0.2661530634
121	0.9070059608	0.2656506906
122	0.9074069124	0.2644524839
123	0.9079949747	0.2635640535
124	0.9083691962	0.2627153306
125	0.9083959263	0.2621396864
126	0.9083691962	0.2611864397
127	0.9088770682	0.2602957206
128	0.9094384005	0.2591407018
129	0.909572051	0.2586370785
130	0.9097858918	0.25751903
131	0.9102670338	0.2563978811
132	0.910587795	0.2554875234
133	0.9109352864	0.2541304724
134	0.9113095079	0.2535007107
135	0.9116569993	0.2525959314
136	0.9115233487	0.251603493
137	0.9116035391	0.2508549203
138	0.912351982	0.2502123886
139	0.9126727433	0.2489835371
140	0.9128865842	0.2482417773
141	0.9129935046	0.2475741497
142	0.9132608056	0.2472230645
143	0.9135281067	0.2463299959
144	0.9137954078	0.2451613007
145	0.9144369303	0.2443788657
146	0.9145438507	0.2438968528
147	0.9146775013	0.243391052
148	0.9149448023	0.2425527303
149	0.9153190238	0.2419204355
150	0.9158268958	0.241079531
151	0.9162545775	0.2402632286
152	0.9167891797	0.2393050148
153	0.9169228302	0.238524599
154	0.9173237818	0.2379573563
155	0.9178316538	0.237178585
156	0.9182326054	0.2362984493
157	0.9184197161	0.2356197147
158	0.9190612387	0.2346761157
159	0.9193285397	0.2340299898
160	0.9201839031	0.2332694997
161	0.9205581246	0.2327045253
162	0.920665045	0.2323672125
163	0.9210927267	0.231558067
164	0.9213600278	0.2311656461
165	0.9217609794	0.2305976664
166	0.9221886611	0.23009312
167	0.9221886611	0.2296603808
168	0.9223757718	0.2291790405
169	0.9228034535	0.2282383127
170	0.923177675	0.2277390764
171	0.9233113255	0.227329513
172	0.9236053567	0.2268941809
173	0.9239528481	0.2262850319
174	0.9240864986	0.2257751167
175	0.9241399588	0.225383633
176	0.9246211007	0.2250926603
177	0.9245141803	0.2246576408
178	0.9247280212	0.2241825725
179	0.9248349416	0.2238744086
180	0.9253962738	0.2230708672
181	0.9257170351	0.22234929
182	0.9262249071	0.2219171615
183	0.9263585576	0.2213517616
184	0.9265189383	0.2207164681
185	0.92694662	0.2201648528
186	0.9271070006	0.2197705339
187	0.9271337307	0.2193694659
188	0.9279089038	0.2185792725
189	0.9281494748	0.2180658998
190	0.9286840769	0.2176152881
191	0.9290850285	0.2172164133
192	0.9295661704	0.2165547806
193	0.9296463607	0.2162538911
194	0.9296998209	0.2157063876
195	0.9301275026	0.2147895008
196	0.9303948037	0.21454328
197	0.9301275026	0.2138449282
198	0.9304482639	0.2132726425
199	0.9310630563	0.212610286
200	0.9311967069	0.2119049321
201	0.931223437	0.2113868695
202	0.9317045789	0.2106293416
203	0.9320520702	0.2100041275
204	0.9322659111	0.209549586
205	0.9326134025	0.2090292051
206	0.9329074336	0.2084922858
207	0.933495496	0.2080089244
208	0.9333885756	0.2077003793
209	0.9337360669	0.2073340206
210	0.9342439389	0.2064273808
211	0.9344577798	0.2059560225
212	0.9345379701	0.205706753
213	0.9346448905	0.2052570772
214	0.9346716206	0.2048202565
215	0.9348587314	0.2045023637
216	0.9350725722	0.2041183845
217	0.9354200636	0.2036029994
218	0.9358477453	0.2030309009
219	0.9359813958	0.2027376339
220	0.936008126	0.2024231343
221	0.9365427281	0.2020817879
222	0.9366763786	0.2016724012
223	0.9368100291	0.2014398271
224	0.9371307904	0.2011771951
225	0.9375050119	0.2006387217
226	0.9376921226	0.2000286825
227	0.9379594237	0.1991965723
228	0.9380930742	0.1989109089
229	0.9381465344	0.1986584402
230	0.9384138355	0.1984301274
231	0.9386544065	0.1981585292
232	0.9388949774	0.1976314733
233	0.9394028494	0.1972203472
234	0.9397503408	0.1968223724
235	0.9399107214	0.1964068393
236	0.940044372	0.1962714904
237	0.9402047526	0.1957383039
238	0.9404185935	0.1955105744
239	0.9404987838	0.1951273587
240	0.9405255139	0.1948235591
241	0.9406858945	0.1946218354
242	0.9408997354	0.1943859546
243	0.9409531956	0.1937714384
244	0.9410066558	0.1932083829
245	0.9411670364	0.1930168206
246	0.9413274171	0.1926578846
247	0.9414076074	0.1924487042
248	0.9413541472	0.1920219295
249	0.9417016386	0.1916986248
250	0.9418352891	0.1913525975
251	0.9418352891	0.1912219702
252	0.9419689396	0.1908974165
253	0.9421025901	0.190735887
254	0.9422362407	0.1903609576
255	0.9422897009	0.1902373455
256	0.9424768116	0.1898734094
257	0.9425837321	0.1895817411
258	0.9427441127	0.1890569048
259	0.9429846836	0.1887553843
260	0.9431183342	0.1883801946
261	0.9433054449	0.1877892927
262	0.9434925557	0.1873681977
263	0.9437598567	0.1869945966
264	0.9439736976	0.1866330674
265	0.9443746492	0.186303329
266	0.9451498222	0.185849375
267	0.9450696319	0.1853033326
268	0.9452300126	0.1848606095
269	0.9451498222	0.1845103524
270	0.9455775039	0.1837715985
271	0.9458715351	0.1832722362
272	0.946085376	0.1830731863
273	0.9461388362	0.1827014641
274	0.9462457566	0.1825309339
275	0.9466467082	0.1821758827
276	0.9468070888	0.1820505557
277	0.9469407394	0.1818490271
278	0.9468872791	0.181601094
279	0.9468872791	0.1812968793
280	0.9469674695	0.1807672865
281	0.94710112	0.1805837495
282	0.9473951512	0.1801668569
283	0.9475020716	0.1797827062
284	0.9475822619	0.1795101677
285	0.9476357221	0.1792946401
286	0.9475555318	0.1789969775
287	0.9478762931	0.1787486169
288	0.9480634038	0.1785053071
289	0.9483039748	0.1781815013
290	0.9485178156	0.1779976054
291	0.9485712758	0.1777122384
292	0.9486514661	0.1774065559
293	0.9486781963	0.1772486055
294	0.9490791478	0.1768668107
295	0.9492662586	0.1767175501
296	0.9493999091	0.1763572698
297	0.94961375	0.1760278761
298	0.9495870199	0.1755939936
299	0.9496672102	0.1751564946
300	0.9495602898	0.1749183815
301	0.9496672102	0.1746631713
302	0.9497474005	0.1744539543
303	0.9497741306	0.1742917737
304	0.9499612413	0.1738411453
305	0.9502018123	0.1735395716
306	0.9502820026	0.17319201
307	0.9502820026	0.1730574245
308	0.9504156532	0.1728881855
309	0.9505760338	0.1727435974
310	0.9507364144	0.1724186004
311	0.950870065	0.1720104945
