iter	Passed	Remaining
0	57	114765
1	113	113274
2	167	111175
3	219	109749
4	275	109925
5	328	109111
6	378	107704
7	428	106738
8	479	106045
9	530	105648
10	580	104928
11	631	104629
12	688	105215
13	744	105662
14	802	106223
15	855	106108
16	907	105820
17	1009	111120
18	1063	110909
19	1113	110225
20	1165	109795
21	1219	109632
22	1269	109142
23	1320	108747
24	1369	108214
25	1420	107850
26	1470	107483
27	1520	107053
28	1570	106735
29	1620	106436
30	1670	106110
31	1720	105800
32	1770	105547
33	1821	105350
34	1872	105106
35	1922	104855
36	1971	104621
37	2024	104507
38	2074	104288
39	2123	104055
40	2171	103761
41	2221	103578
42	2273	103475
43	2324	103330
44	2373	103129
45	2423	102947
46	2472	102743
47	2523	102631
48	2573	102454
49	2623	102297
50	2673	102159
51	2723	102023
52	2774	101933
53	2825	101840
54	2877	101750
55	2929	101694
56	2981	101631
57	3032	101546
58	3082	101419
59	3133	101323
60	3186	101280
61	3236	101173
62	3289	101145
63	3339	101027
64	3390	100939
65	3440	100805
66	3491	100724
67	3542	100660
68	3593	100577
69	3644	100483
70	3694	100381
71	3744	100275
72	3795	100195
73	3846	100114
74	3899	100079
75	3949	99984
76	4000	99912
77	4051	99835
78	4104	99797
79	4155	99723
80	4206	99646
81	4255	99531
82	4303	99402
83	4353	99312
84	4405	99254
85	4455	99160
86	4504	99053
87	4556	99002
88	4607	98926
89	4657	98839
90	4707	98752
91	4757	98665
92	4809	98615
93	4859	98536
94	4908	98434
95	4959	98361
96	5011	98322
97	5061	98240
98	5111	98160
99	5161	98077
100	5214	98036
101	5266	97998
102	5316	97908
103	5367	97849
104	5419	97804
105	5474	97814
106	5524	97736
107	5576	97683
108	5626	97608
109	5675	97523
110	5726	97445
111	5775	97351
112	5825	97285
113	5875	97203
114	5925	97124
115	5975	97050
116	6030	97051
117	6080	96972
118	6129	96884
119	6179	96805
120	6228	96729
121	6277	96631
122	6326	96547
123	6376	96474
124	6426	96391
125	6475	96303
126	6525	96237
127	6576	96181
128	6627	96128
129	6677	96055
130	6727	95981
131	6777	95907
132	6827	95835
133	6877	95768
134	6927	95699
135	6977	95632
136	7031	95621
137	7083	95571
138	7133	95509
139	7183	95438
140	7233	95372
141	7283	95306
142	7332	95215
143	7381	95141
144	7434	95112
145	7484	95039
146	7532	94955
147	7582	94882
148	7633	94826
149	7683	94762
150	7733	94697
151	7784	94640
152	7835	94584
153	7885	94521
154	7934	94448
155	7984	94384
156	8037	94349
157	8087	94291
158	8139	94241
159	8189	94184
160	8240	94126
161	8292	94078
162	8341	94004
163	8390	93934
164	8441	93877
165	8491	93817
166	8542	93758
167	8591	93691
168	8642	93634
169	8692	93573
170	8742	93511
171	8794	93465
172	8843	93394
173	8893	93332
174	8943	93269
175	8993	93201
176	9046	93173
177	9097	93118
178	9148	93069
179	9198	93002
180	9248	92948
181	9299	92890
182	9348	92817
183	9399	92764
184	9448	92701
185	9498	92637
186	9548	92571
187	9599	92520
188	9649	92460
189	9698	92391
190	9747	92322
191	9798	92264
192	9847	92200
193	9895	92122
194	9946	92067
195	9997	92016
196	10052	92006
197	10102	91942
198	10153	91895
199	10204	91841
200	10257	91807
201	10307	91748
202	10358	91699
203	10409	91645
204	10461	91598
205	10517	91591
206	10569	91550
207	10621	91506
208	10670	91442
209	10720	91375
210	10769	91313
211	10820	91261
212	10869	91193
213	10919	91133
214	10969	91071
215	11018	91002
216	11071	90971
217	11122	90915
218	11172	90862
219	11222	90797
220	11271	90730
221	11321	90676
222	11373	90627
223	11423	90572
224	11472	90504
225	11523	90454
226	11574	90402
227	11625	90348
228	11674	90284
229	11723	90218
230	11773	90164
231	11823	90101
232	11870	90025
233	11920	89961
234	11968	89891
235	12019	89837
236	12074	89819
237	12125	89766
238	12178	89734
239	12236	89735
240	12293	89729
241	12350	89720
242	12406	89705
243	12463	89698
244	12521	89696
245	12578	89686
246	12634	89670
247	12690	89653
248	12755	89698
249	12811	89682
250	12867	89664
251	12924	89647
252	12982	89647
253	13038	89629
254	13101	89653
255	13158	89641
256	13214	89620
257	13270	89604
258	13328	89597
259	13385	89581
260	13443	89569
261	13501	89562
262	13558	89549
263	13618	89550
264	13675	89537
265	13733	89526
266	13791	89518
267	13850	89509
268	13908	89503
269	13966	89489
270	14023	89470
271	14082	89463
272	14137	89436
273	14196	89427
274	14254	89411
275	14311	89396
276	14367	89368
277	14424	89346
278	14481	89328
279	14539	89316
280	14604	89341
281	14668	89361
282	14731	89378
283	14795	89396
284	14853	89383
285	14910	89358
286	14967	89335
287	15023	89306
288	15083	89302
289	15141	89282
290	15198	89261
291	15256	89240
292	15313	89213
293	15369	89186
294	15426	89158
295	15481	89124
296	15538	89099
297	15596	89075
298	15653	89051
299	15712	89038
300	15769	89014
301	15828	88993
302	15885	88971
303	15941	88938
304	16002	88933
305	16063	88924
306	16126	88931
307	16182	88898
308	16239	88873
309	16297	88845
310	16354	88818
311	16412	88797
312	16469	88767
313	16526	88739
314	16585	88720
315	16642	88690
316	16698	88655
317	16757	88633
318	16814	88605
319	16870	88569
320	16927	88541
321	16985	88516
322	17044	88494
323	17105	88486
324	17160	88443
325	17218	88413
326	17277	88392
327	17327	88329
328	17378	88264
329	17428	88197
330	17478	88131
331	17527	88060
332	17577	87993
333	17626	87921
334	17678	87864
335	17728	87796
336	17779	87736
337	17828	87665
338	17877	87596
339	17927	87528
340	17976	87457
341	18025	87387
342	18075	87322
343	18131	87284
344	18180	87215
345	18230	87149
346	18283	87098
347	18333	87032
348	18383	86966
349	18433	86899
350	18483	86834
351	18531	86758
352	18584	86708
353	18633	86641
354	18684	86578
355	18734	86514
356	18782	86443
357	18832	86379
358	18881	86308
359	18929	86236
360	18979	86171
361	19029	86108
362	19079	86042
363	19135	86003
364	19185	85939
365	19234	85872
366	19284	85809
367	19334	85746
368	19383	85678
369	19433	85613
370	19484	85551
371	19533	85485
372	19582	85416
373	19632	85354
374	19681	85285
375	19730	85220
376	19780	85155
377	19829	85088
378	19879	85025
379	19928	84960
380	19978	84893
381	20029	84837
382	20079	84773
383	20129	84710
384	20187	84683
385	20237	84620
386	20287	84556
387	20337	84494
388	20387	84433
389	20437	84372
390	20488	84311
391	20536	84242
